LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
12.85256,74.97432,0.7,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5
12.85256,74.97432,0.77,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5
12.877941,75.23666,0.33,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5
12.877942,75.23667,0.36,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5
13.01861111,74.81583333,1.19,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5
13.01861111,74.81583333,1.29,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5
13.01861111,74.81583333,1.31,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5
13.01861111,74.81583333,1.26,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5
13.02027778,74.81472222,1.37,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011
13.02027778,74.81472222,0.96,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011
13.02027778,74.81472222,0.78,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011
13.02027778,74.81472222,1.13,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011
12.85428,74.975712,1.03,0.263416816,1025,1293,1604,1870,2088.5,2562.5,2845,2740,3043,3182,3797.5,2823.5
12.8499,74.9862,1.05,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5
12.8499,74.9862,0.7,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5
12.89564,75.230569,0.49,0.231276281,1116,1157,1324,1590,1874,2416.5,2733.5,2743,2997,2740.5,3415.5,2537
13.02166667,74.81861111,0.8,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026
13.02166667,74.81861111,0.96,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026
13.02166667,74.81861111,1.02,0.208800332,626,1010,1452,1906,2130,2524.5,2843.5,2912,3175,2930.5,4133,3026
12.8503,74.9849,1.07,0.244088624,1181.5,1548,1883,2177,2522.5,2909.5,3198.5,3361,3574,3595.5,4791.5,3690
12.84726,74.98766,1.06,0.236387492,633.5,1010,1377,1768,2115.5,2553.5,2849,3075,3257.5,3180,4224.5,3104.5
12.85365,74.9725,1.13,0.271112947,1214.5,1337,1740,2139,2440,2844.5,3122,3056,3285.5,3267,4177,3137.5
12.85326,74.97222,0.36,0.225509028,1199.5,1088.5,1575,1871,2462,3042,3382.5,3294,3509.5,3457.5,4047.5,2948.5
12.89338,75.22759,1.09,0.221067221,589.5,916,1236,1480,1858.5,2326,2580,2618.5,2877.5,3122,3126,2391.5
12.8498,74.9859,0.73,0.280479373,1222,1070,1345,1631,2047.5,2447,2733.5,2700,3068.5,3151,4365.5,3092
12.8498,74.9859,1.16,0.280479373,1222,1070,1345,1631,2047.5,2447,2733.5,2700,3068.5,3151,4365.5,3092
12.89521,75.225628,0.37,0.180340557,656,985.5,1495,2611,2776,3200,3318,3242,3334,3285.5,4093,2748
12.85697,74.9747,0.8,0.282507583,833,1321,1837,2189,2636.5,2942.5,3236,3211,3413.5,3188.5,4138.5,3170.5
