LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
13.01916667,74.81861111,1.39,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5,4,0.719694123,0.179923531,0.183883578,0.027633691,0.137473837,0.214453131,0.076979294,0.137473837,0.137473837,4,0.000763621
13.01916667,74.81861111,1.14,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5,4,0.719694123,0.179923531,0.183883578,0.027633691,0.137473837,0.214453131,0.076979294,0.137473837,0.137473837,4,0.000763621
12.8539,74.97424,1.13,0.220910038,1172.5,1412,1802,2243,2454.5,3088.5,3395,3515,3675.5,3407,4344.5,3196,2,0.402558297,0.201279148,0.201279148,0.019630894,0.181648254,0.220910043,0.039261788,0.181648254,0.181648254,2,0.000385372
12.87348,75.24698,1.32,0.186911927,767.5,1354,1728,2398,2161,2981.5,3312,3500.5,3536,3430,3151.5,2209,2,0.408955231,0.204477616,0.204477616,0.01756569,0.186911926,0.222043306,0.03513138,0.186911926,0.186911926,2,0.000308553
12.898921,75.225039,0.98,0.189855246,619,796.5,1077,1693,2031.5,2226.5,2443,2486.5,2568,2793.5,3218.5,2343.5,3,0.588957161,0.196319054,0.189855248,0.019825557,0.17592378,0.223178133,0.047254354,0.17592378,0.17592378,3,0.000393053
12.84978,74.98485,1.07,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902,2,0.44294326,0.22147163,0.22147163,0.003381558,0.218090072,0.224853188,0.006763116,0.218090072,0.218090072,2,1.14E-05
12.84978,74.98485,1.14,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902,2,0.44294326,0.22147163,0.22147163,0.003381558,0.218090072,0.224853188,0.006763116,0.218090072,0.218090072,2,1.14E-05
12.85297,74.97903,0.86,0.202791625,685.5,1145,1544,1968,2361.5,2738.5,3091.5,3059,3248,3162.5,4342,3151,3,0.645511389,0.215170463,0.217028052,0.009440739,0.202791631,0.225691706,0.022900075,0.202791631,0.202791631,3,8.91E-05
12.8492924,74.9839,0.47,0.228077572,809,1114,1462,1862,2339,2617.5,2926,2927,3255.5,3288.5,4333.5,3180,4,0.90054141,0.225135352,0.225039601,0.002360466,0.222384632,0.228077576,0.005692944,0.222384632,0.222384632,4,5.57E-06
12.85207,74.97824,0.99,0.222084059,932.5,1076,1272,1476,1783,1991.5,2317.5,2354,2545.5,3097,3546.5,2687,3,0.650273636,0.216757879,0.22208406,0.01292901,0.198946759,0.229242817,0.030296057,0.198946759,0.198946759,3,0.000167159
13.01972222,74.81444444,1.43,0.234491018,618.5,888,1206,1580,1857,2202.5,2501.5,2500,2859.5,2823,3833.5,2863.5,2,0.459981218,0.229990609,0.229990609,0.004500411,0.225490198,0.23449102,0.009000823,0.225490198,0.225490198,2,2.03E-05
12.848835,74.9827,0.71,0.215411559,973.5,1145.5,1291,1574,1898.5,2134,2339.5,2436,2707,2921,4197,3109.5,3,0.68965134,0.22988378,0.231956199,0.011431359,0.214962587,0.242732555,0.027769968,0.214962587,0.214962587,3,0.000130676
13.02305556,74.83277778,1.37,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5,4,0.927316934,0.231829233,0.232967414,0.010890312,0.217169136,0.24421297,0.027043834,0.217169136,0.217169136,4,0.000118599
13.02305556,74.83277778,1.09,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5,4,0.927316934,0.231829233,0.232967414,0.010890312,0.217169136,0.24421297,0.027043834,0.217169136,0.217169136,4,0.000118599
12.8548,74.97506,1.39,0.225939505,906.5,1090,1452,1689,1658,2402,2754.5,2675,2906,2963.5,2908.5,2100.5,2,0.473795235,0.236897618,0.236897618,0.010958105,0.225939512,0.247855723,0.021916211,0.225939512,0.225939512,2,0.00012008
